Hits,Years,Salary
92,1,100
109,1,115
113,1,90
78,1,70
51,1,70
86,1,110
58,1,86.5
64,1,75
54,1,75
54,1,68
135,1,172
68,1,70
101,1,97.5
149,1,140
4,1,920
117,1,120
172,1,165
87,2,91.5
37,2,70
81,2,75
60,2,90
41,2,67.5
53,2,70
82,2,110
103,2,100
144,2,165
41,2,95
91,2,125
127,2,202.5
56,2,90
93,2,150
1,2,2127.333
137,2,175
152,2,200
112,2,135
145,2,155
103,2,105
139,2,160
130,3,480
73,3,100
108,3,110
132,3,215
53,3,75
138,3,145
115,3,300
152,3,215
40,3,90
163,3,200
39,3,75
76,3,155
101,3,195
223,3,365
92,3,145
71,3,100
120,3,175
60,3,137
43,3,120
75,3,140
108,3,215
57,3,140
66,3,90
138,3,160
113,4,550
46,4,180
58,4,340
56,4,230
53,4,225
142,4,105
97,4,210
96,4,275
114,4,475
123,4,1220
118,4,155
99,4,87.5
200,4,250
157,4,640
73,4,110
161,4,625
167,4,210
76,4,240
163,4,750
27,4,190
86,4,250
140,4,200
96,4,150
122,4,350
213,4,350
70,4,250
120,4,185
69,4,277.5
46,5,175
152,5,625
168,5,612.5
57,5,247.5
238,5,1975
83,5,431.5
198,5,1175
76,5,385
139,5,400
84,5,400
78,5,500
158,5,662.5
54,5,297.5
183,5,775
102,5,80
184,5,630
179,5,575
93,5,350
56,5,190
72,5,130
96,5,300
82,5,425
211,5,740
113,5,425
207,5,1600
127,5,700
60,6,700
116,6,600
163,6,765
68,6,305
146,6,815
102,6,415
177,6,1350
103,6,325
171,6,900
170,6,1237.5
132,6,1008.333
174,6,657
92,6,300
147,6,1310
52,6,265
131,6,550
77,6,670
154,6,580
76,6,250
68,6,191
178,6,740
117,6,100
159,6,475
210,6,90
152,6,940
47,6,245
186,6,1300
126,6,385
73,7,708.333
49,7,300
110,7,490
169,7,950
104,7,750
85,7,300
127,7,1183.333
149,7,787.5
131,7,780
94,7,875
110,7,800
80,7,700
119,7,875
68,7,425
43,7,286.667
147,7,1150
112,7,750
81,7,525
124,7,550
32,8,135
49,8,375
85,8,362.5
120,8,600
118,8,1300
160,8,1670
169,8,530
76,8,341.667
103,8,326.667
141,8,925
144,8,960
53,9,512.5
168,9,1200
119,9,850
83,9,600
94,9,535
39,9,175
159,9,1043.333
65,9,650
144,9,1940
123,9,1260
110,9,560
135,9,750
159,10,517.143
129,10,750
151,10,2460
95,10,100
147,10,277.5
74,10,737.5
136,10,725
84,10,800
157,10,420
90,10,450
63,10,341.667
42,10,900
141,11,500
169,11,750
163,11,1900
126,11,737.5
136,11,850
47,11,450
145,11,500
170,11,1000
101,12,675
78,12,416.667
119,12,595
55,12,1300
70,12,225
77,12,450
56,12,250
52,12,400
113,12,740
136,12,875
92,13,1100
43,13,240
125,13,1925.571
94,13,600
200,13,2412.5
91,13,825
171,13,1800
128,13,587.5
148,13,700
163,13,1000
81,14,475
137,14,900
106,14,850
131,14,850
174,14,1041.667
148,14,1861.46
154,14,750
128,14,1500
39,14,275
66,14,250
150,14,1000
83,14,450
158,15,775
137,15,933.333
70,15,450
96,15,733.333
103,15,430
70,15,365
141,15,525
44,16,275
41,16,260
77,16,700
70,16,1050
101,17,875
139,17,950
81,17,320
133,17,773.333
61,17,235
168,18,776.667
122,18,535
70,18,325
68,18,400
142,18,1450
32,19,500
77,20,200
101,20,487.5
52,24,750
