productid,productname,productprice,vendorid,categoryid
1X1,"Zzz Bag",100.00,PG,CP
9X9,"Trusty Rope",30.00,WL,CL
3X4,"Treado Tire",30.00,OA,CY
5X5,"Tiny Tent",150.00,MK,CP
1X3,"Sunny Charger",125.00,OA,EL
2X4,"Strongster Carribeaner",20.00,MK,CL
4X1,"Slicky Tire",25.00,OA,CY
3X1,"Sleepy Pad",25.00,WL,CP
5X1,"Simple Sandal",50.00,PG,FW
1X4,"Safe-T Helmet",40.00,PG,CY
2X3,"Reflect-o Jacket",35.00,PG,CY
8X8,"Power Pedals",20.00,MK,CY
2X1,"Mmm Stove",80.00,WL,CP
4X3,"Mega Camera",275.00,WL,EL
5X3,"Luxo Tent",500.00,OA,CP
7X7,"Hi-Tec GPS",300.00,OA,EL
4X2,"Electra Compass",45.00,MK,EL
2X2,"Easy Boot",70.00,MK,FW
4X4,"Dura Boot",90.00,PG,FW
3X3,"Cosy Sock",15.00,MK,FW
1X2,"Comfy Harness",150.00,MK,CL
3X2,"Bucky Knife",60.00,WL,CP
6X6,"Biggy Tent",250.00,MK,CP
5X2,"Action Sandal",70.00,PG,FW
